groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
3150,McDonald's Promos 2022,MCD22,FALSE,2022-08-03T00:00:00,2025-11-26T02:50:28.24,3
3064,Pokemon GO,PGO,FALSE,2022-07-01T00:00:00,2025-12-04T15:55:25.953,3
3040,SWSH10: Astral Radiance,SWSH10,FALSE,2022-05-27T00:00:00,2025-12-05T17:26:33.027,3
3068,SWSH10: Astral Radiance Trainer Gallery,SWSH10:TG,FALSE,2022-05-27T00:00:00,2025-12-04T15:14:32.553,3
3051,Battle Academy 2022,BA22,FALSE,2022-04-01T00:00:00,2025-11-13T14:49:59.71,3
2948,SWSH09: Brilliant Stars,SWSH09,FALSE,2022-02-25T00:00:00,2025-12-05T18:19:05.92,3
3020,SWSH09: Brilliant Stars Trainer Gallery,SWSH09:TG,FALSE,2022-02-25T00:00:00,2025-12-05T18:21:01.107,3
2906,SWSH08: Fusion Strike,SWSH08,FALSE,2021-11-12T00:00:00,2025-12-04T15:54:13.673,3
2867,Celebrations,CLB,FALSE,2021-10-08T00:00:00,2025-11-30T00:48:35.91,3
2931,Celebrations: Classic Collection,CCC,FALSE,2021-10-08T00:00:00,2025-12-04T18:59:09.15,3
2848,SWSH07: Evolving Skies,SWSH07,FALSE,2021-08-27T00:00:00,2025-12-05T19:15:02.663,3
2807,SWSH06: Chilling Reign,SWSH06,FALSE,2021-06-18T00:00:00,2025-12-05T16:50:49.44,3
2765,SWSH05: Battle Styles,SWSH05,FALSE,2021-03-19T00:00:00,2025-12-04T15:10:00.107,3
2776,First Partner Pack,FPP,TRUE,2021-02-26T00:00:00,2024-05-14T16:15:32.93,3
2754,Shining Fates,SHF,FALSE,2021-02-19T00:00:00,2025-12-05T18:41:24.38,3
2781,Shining Fates: Shiny Vault,SHFSV,FALSE,2021-02-19T00:00:00,2025-12-03T16:53:11.307,3
2782,McDonald's 25th Anniversary Promos,MCD21,TRUE,2021-02-09T00:00:00,2025-11-25T03:12:43.593,3
2701,SWSH04: Vivid Voltage,SWSH04,FALSE,2020-11-13T00:00:00,2025-12-02T14:18:36.633,3
2685,Champion's Path,CHP,FALSE,2020-09-25T00:00:00,2025-11-25T01:25:46.887,3
2675,SWSH03: Darkness Ablaze,SWSH03,FALSE,2020-08-14T00:00:00,2025-12-05T18:08:12.547,3
2686,Battle Academy,BTA,TRUE,2020-07-31T00:00:00,2025-10-20T16:03:28.737,3
2626,SWSH02: Rebel Clash,SWSH02,FALSE,2020-05-01T00:00:00,2025-11-29T02:58:54.07,3
2585,SWSH01: Sword & Shield Base Set,SWSH01,FALSE,2020-02-07T00:00:00,2025-12-04T02:48:55.21,3
2545,SWSH: Sword & Shield Promo Cards,SWSD,FALSE,2019-11-15T00:00:00,2025-12-04T18:15:35.223,3
2534,SM - Cosmic Eclipse,SM12,FALSE,2019-11-01T00:00:00,2025-12-02T14:09:27.29,3
2555,McDonald's Promos 2019,MCD19,FALSE,2019-10-01T00:00:00,2024-10-01T13:31:52.48,3
2480,Hidden Fates,HIF,FALSE,2019-08-23T00:00:00,2025-11-28T22:18:29.347,3
2594,Hidden Fates: Shiny Vault,HIF:SV,FALSE,2019-08-23T00:00:00,2025-12-05T19:25:25.363,3
2464,SM - Unified Minds,SM11,FALSE,2019-08-02T00:00:00,2025-11-28T22:37:10.76,3
2420,SM - Unbroken Bonds,SM10,FALSE,2019-05-03T00:00:00,2025-12-05T18:52:06.757,3
2409,Detective Pikachu,DEP,FALSE,2019-04-05T00:00:00,2025-12-05T18:39:55.01,3
2377,SM - Team Up,SM9,FALSE,2019-02-01T00:00:00,2025-12-05T12:38:36.79,3
2328,SM - Lost Thunder,SM8,FALSE,2018-11-02T00:00:00,2025-12-05T18:49:46.99,3
2364,McDonald's Promos 2018,MCD18,TRUE,2018-11-02T00:00:00,2025-11-13T14:11:18.797,3
2374,Miscellaneous Cards & Products,MCAP,TRUE,2018-11-01T00:00:00,2025-12-08T17:44:21.277,3
2295,Dragon Majesty,DRM,FALSE,2018-09-07T00:00:00,2025-11-21T01:01:13.58,3
